full_address,n,newest_created,oldest_created,newest_close,row_n,cum_houses,cumsum_wo,cumpct_wo
2105 E FEDERAL ST,1,2018-01-16T15:59:00Z,2018-01-16T15:59:00Z,2018-01-19T00:00:00Z,9189,0.7113880932104978,25491,0.8724117868510216
2106  CLIFTWOOD AVE,1,2016-11-23T22:00:00Z,2016-11-23T22:00:00Z,2016-12-01T00:00:00Z,9190,0.7114655105674692,25492,0.8724460111571238
2106  HAMILTON AVE,1,2016-09-20T22:00:00Z,2016-09-20T22:00:00Z,2016-09-22T00:00:00Z,9191,0.7115429279244406,25493,0.872480235463226
2106  WESTWOOD AVE,1,2017-03-09T13:02:00Z,2017-03-09T13:02:00Z,2017-03-10T00:00:00Z,9192,0.711620345281412,25494,0.8725144597693282
2106  WILKENS AVE,1,2016-10-03T22:00:00Z,2016-10-03T22:00:00Z,2016-10-05T00:00:00Z,9193,0.7116977626383836,25495,0.8725486840754304
2106 E LAFAYETTE AVE,1,2017-04-10T14:31:00Z,2017-04-10T14:31:00Z,2017-04-11T00:00:00Z,9194,0.711775179995355,25496,0.8725829083815325
2107  DRUID HILL AVE,1,2017-12-05T15:07:00Z,2017-12-05T15:07:00Z,2017-12-20T00:00:00Z,9195,0.7118525973523264,25497,0.8726171326876347
2107 E NORTH AVE,1,2017-05-12T09:01:00Z,2017-05-12T09:01:00Z,2017-05-15T00:00:00Z,9196,0.7119300147092978,25498,0.872651356993737
2108 E MADISON ST,1,2017-06-19T22:00:00Z,2017-06-19T22:00:00Z,2017-06-21T00:00:00Z,9197,0.7120074320662693,25499,0.8726855812998392
2108 N PULASKI ST,1,2017-01-13T10:29:00Z,2017-01-13T10:29:00Z,2017-01-21T00:00:00Z,9198,0.7120848494232407,25500,0.8727198056059413
2109  BOOTH ST,1,2018-01-05T13:54:00Z,2018-01-05T13:54:00Z,2018-01-10T00:00:00Z,9199,0.7121622667802121,25501,0.8727540299120435
2109  LYNDHURST AVE,1,2018-05-18T22:00:00Z,2018-05-18T22:00:00Z,2018-05-21T00:00:00Z,9200,0.7122396841371835,25502,0.8727882542181458
2109 N FULTON AVE,1,2018-09-08T09:21:00Z,2018-09-08T09:21:00Z,2018-09-10T00:00:00Z,9201,0.712317101494155,25503,0.8728224785242479
211  ALLENDALE ST,1,2018-11-08T22:00:00Z,2018-11-08T22:00:00Z,2018-11-19T00:00:00Z,9202,0.7123945188511264,25504,0.8728567028303501
211 N CAREY ST,1,2018-08-22T16:13:00Z,2018-08-22T16:13:00Z,2018-08-24T00:00:00Z,9203,0.7124719362080979,25505,0.8728909271364523
211 N LINWOOD AVE,1,2017-11-21T22:00:00Z,2017-11-21T22:00:00Z,2017-11-30T00:00:00Z,9204,0.7125493535650693,25506,0.8729251514425544
211 S PULASKI ST,1,2018-04-24T13:15:00Z,2018-04-24T13:15:00Z,2018-05-14T00:00:00Z,9205,0.7126267709220407,25507,0.8729593757486567
211 W FRANKLIN ST,1,2018-04-03T15:40:00Z,2018-04-03T15:40:00Z,2018-04-05T00:00:00Z,9206,0.7127041882790122,25508,0.8729936000547589
2110  LLEWELYN AVE,1,2018-02-01T12:25:00Z,2018-02-01T12:25:00Z,2018-02-03T00:00:00Z,9207,0.7127816056359836,25509,0.8730278243608611
